Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
"Joachim ""Jochen"" Bchner",M,23.0,176.0,74.0,Germany,1928,Athletics Men's 400 meters,Bronze
"Joachim ""Jochen"" Bchner",M,27.0,176.0,74.0,Germany,1932,Athletics Men's 400 meters,
"Donald Smith ""Don"" Buddo",M,21.0,,,Canada,1908,Athletics Men's 400 meters,
"Samuel Zanya ""Sam"" Bugri",M,25.0,182.0,70.0,Ghana,1968,Athletics Men's 400 meters,
"Samuel Zanya ""Sam"" Bugri",M,29.0,182.0,70.0,Ghana,1972,Athletics Men's 400 meters,
Hugh Bullard,M,18.0,170.0,64.0,Bahamas,1960,Athletics Men's 400 meters,
Manut Bumrungphuk,M,24.0,164.0,63.0,Thailand,1960,Athletics Men's 400 meters,
Viktor Volodymyrovych Burakov,M,25.0,182.0,73.0,Soviet Union,1980,Athletics Men's 400 meters,
"Thomas Edmund ""Tom"" Burke",M,21.0,183.0,66.0,United States,1896,Athletics Men's 400 meters,Gold
Hermann Heinrich Burkowitz,M,20.0,175.0,64.0,Germany,1912,Athletics Men's 400 meters,
Ezra Ellsworth Burnham,M,21.0,173.0,64.0,Barbados,1968,Athletics Men's 400 meters,
Faustin Butra,M,28.0,,,Rwanda,1984,Athletics Men's 400 meters,
Guy Montagu Butler,M,20.0,,,Great Britain,1920,Athletics Men's 400 meters,Silver
Guy Montagu Butler,M,24.0,,,Great Britain,1924,Athletics Men's 400 meters,Bronze
Vitaliy Mykolaiovych Butrym,M,21.0,180.0,75.0,Ukraine,2012,Athletics Men's 400 meters,
Vitaliy Mykolaiovych Butrym,M,25.0,180.0,75.0,Ukraine,2016,Athletics Men's 400 meters,
Viktor Bychkov,M,26.0,186.0,78.0,Soviet Union,1964,Athletics Men's 400 meters,
Bror Erik Bylhn,M,26.0,172.0,61.0,Sweden,1924,Athletics Men's 400 meters,
Daniel Stephen Caines,M,21.0,178.0,73.0,Great Britain,2000,Athletics Men's 400 meters,
Daniel Stephen Caines,M,25.0,178.0,73.0,Great Britain,2004,Athletics Men's 400 meters,
"Bertland ""Bert"" Cameron",M,20.0,188.0,79.0,Jamaica,1980,Athletics Men's 400 meters,
"Bertland ""Bert"" Cameron",M,24.0,188.0,79.0,Jamaica,1984,Athletics Men's 400 meters,
"Bertland ""Bert"" Cameron",M,28.0,188.0,79.0,Jamaica,1988,Athletics Men's 400 meters,
Colin William Ashburner Campbell,M,22.0,185.0,76.0,Great Britain,1968,Athletics Men's 400 meters,
Yves Roger Maurice Camus,M,22.0,,,France,1952,Athletics Men's 400 meters,
David Canal Valero,M,21.0,182.0,75.0,Spain,2000,Athletics Men's 400 meters,
David Canal Valero,M,25.0,182.0,75.0,Spain,2004,Athletics Men's 400 meters,
Aldo Canti,M,23.0,185.0,80.0,France,1984,Athletics Men's 400 meters,
Joo Francisco Capindica,M,21.0,178.0,72.0,Angola,1992,Athletics Men's 400 meters,
Alejandro Manuel Crdeas Robles,M,21.0,186.0,73.0,Mexico,1996,Athletics Men's 400 meters,
Alejandro Manuel Crdeas Robles,M,25.0,186.0,73.0,Mexico,2000,Athletics Men's 400 meters,
Alejandro Manuel Crdeas Robles,M,29.0,186.0,73.0,Mexico,2004,Athletics Men's 400 meters,
Jens Carlowitz,M,24.0,186.0,76.0,East Germany,1988,Athletics Men's 400 meters,
John Conduit Carpenter,M,23.0,184.0,70.0,United States,1908,Athletics Men's 400 meters,
"William Arthur ""Bill"" Carr",M,22.0,172.0,66.0,United States,1932,Athletics Men's 400 meters,Gold
"Edwin William J. Carr, Jr.",M,23.0,,,Australia,1952,Athletics Men's 400 meters,
"John Fralic ""Jack"" Carroll",M,21.0,,,Canada,1952,Athletics Men's 400 meters,
Noel J. Carroll,M,26.0,188.0,79.0,Ireland,1968,Athletics Men's 400 meters,
Massimo Cartasegna,M,22.0,,,Italy,1908,Athletics Men's 400 meters,
Jos de Jess Carvalho,M,23.0,187.0,81.0,Portugal,1976,Athletics Men's 400 meters,
Emilio Eduardo Casanovas,M,,,,Argentina,1924,Athletics Men's 400 meters,
Fernando Gomes Casimiro,M,21.0,,,Portugal,1952,Athletics Men's 400 meters,
Ollan Conley Cassell,M,27.0,185.0,75.0,United States,1964,Athletics Men's 400 meters,
Machel Cedenio,M,20.0,183.0,70.0,Trinidad and Tobago,2016,Athletics Men's 400 meters,
Ricardo Chambers,M,23.0,177.0,73.0,Jamaica,2008,Athletics Men's 400 meters,
Christopher Maude Chavasse,M,23.0,,,Great Britain,1908,Athletics Men's 400 meters,
Noel Godfrey Chavasse,M,23.0,,,Great Britain,1908,Athletics Men's 400 meters,
Chen Yinglang,M,,,,China,1948,Athletics Men's 400 meters,
Nikolay Nikolayevich Chernetsky,M,20.0,186.0,74.0,Soviet Union,1980,Athletics Men's 400 meters,
James Nyang Chiengjiek,M,24.0,179.0,59.0,Refugee Olympic Athletes,2016,Athletics Men's 400 meters,
Jonathan Chipalo,M,26.0,174.0,58.0,Zambia,1988,Athletics Men's 400 meters,
Tawanda Blessings Chiwira,M,21.0,178.0,68.0,Zimbabwe,1996,Athletics Men's 400 meters,
Tawanda Blessings Chiwira,M,26.0,178.0,68.0,Zimbabwe,2000,Athletics Men's 400 meters,
Seiken Cho,M,22.0,,,Japan,1932,Athletics Men's 400 meters,
Gunnar Normandus Fjord Christensen,M,23.0,,,Denmark,1936,Athletics Men's 400 meters,
Alan Thomas Christie,M,18.0,,,Canada,1924,Athletics Men's 400 meters,
Tyler Christopher,M,24.0,188.0,84.0,Canada,2008,Athletics Men's 400 meters,
Clement Chukwu,M,23.0,190.0,82.0,Nigeria,1996,Athletics Men's 400 meters,
Darren Edward Clark,M,18.0,179.0,76.0,Australia,1984,Athletics Men's 400 meters,
Darren Edward Clark,M,23.0,179.0,76.0,Australia,1988,Athletics Men's 400 meters,
Davian Dessaline Clarke,M,20.0,178.0,78.0,Jamaica,1996,Athletics Men's 400 meters,
Davian Dessaline Clarke,M,24.0,178.0,78.0,Jamaica,2000,Athletics Men's 400 meters,
