Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
"Harold Vincent ""Hal"" Connolly",M,33.0,183.0,106.0,United States,1964,Athletics Men's Hammer Throw,
"Harold Vincent ""Hal"" Connolly",M,37.0,183.0,106.0,United States,1968,Athletics Men's Hammer Throw,
Frank Norris Connor,M,19.0,180.0,91.0,United States,1928,Athletics Men's Hammer Throw,
Frank Norris Connor,M,23.0,180.0,91.0,United States,1932,Athletics Men's Hammer Throw,
"Daniel ""Dan"" Coyle",M,,,,Ireland,1948,Athletics Men's Hammer Throw,
Martin Francis Crowe,M,33.0,,,Australia,1956,Athletics Men's Hammer Throw,
Jzsef Csermk,M,20.0,170.0,89.0,Hungary,1952,Athletics Men's Hammer Throw,Gold
Jzsef Csermk,M,24.0,170.0,89.0,Hungary,1956,Athletics Men's Hammer Throw,
Jzsef Csermk,M,28.0,170.0,89.0,Hungary,1960,Athletics Men's Hammer Throw,
Vtor Alfonso Rodrigues da Costa,M,26.0,183.0,105.0,Portugal,2000,Athletics Men's Hammer Throw,
Vtor Alfonso Rodrigues da Costa,M,30.0,183.0,105.0,Portugal,2004,Athletics Men's Hammer Throw,
Ji Dadk,M,26.0,190.0,92.0,Czechoslovakia,1952,Athletics Men's Hammer Throw,
Francisco Domingo Dvila Robledo,M,,183.0,,Mexico,1932,Athletics Men's Hammer Throw,
Nikolay Davydov,M,30.0,180.0,110.0,Kyrgyzstan,2000,Athletics Men's Hammer Throw,
Lance Earl Deal,M,27.0,188.0,116.0,United States,1988,Athletics Men's Hammer Throw,
Lance Earl Deal,M,30.0,188.0,116.0,United States,1992,Athletics Men's Hammer Throw,
Lance Earl Deal,M,34.0,188.0,116.0,United States,1996,Athletics Men's Hammer Throw,Silver
Lance Earl Deal,M,39.0,188.0,116.0,United States,2000,Athletics Men's Hammer Throw,
Diego Alan del Real Galindo,M,22.0,188.0,112.0,Mexico,2016,Athletics Men's Hammer Throw,
Claus Dethloff,M,23.0,187.0,97.0,Germany,1992,Athletics Men's Hammer Throw,
Claus Dethloff,M,27.0,187.0,97.0,Germany,1996,Athletics Men's Hammer Throw,
Vadim Anatolyevich Devyatovsky,M,27.0,192.0,115.0,Belarus,2004,Athletics Men's Hammer Throw,
Vadim Anatolyevich Devyatovsky,M,31.0,192.0,115.0,Belarus,2008,Athletics Men's Hammer Throw,Silver
John Riegel DeWitt,M,22.0,,,United States,1904,Athletics Men's Hammer Throw,Silver
Alejandro Daz,M,36.0,176.0,100.0,Chile,1956,Athletics Men's Hammer Throw,
Derek Paul Dickenson,M,26.0,183.0,105.0,Great Britain,1976,Athletics Men's Hammer Throw,
Derek Paul Dickenson,M,30.0,183.0,105.0,Great Britain,1980,Athletics Men's Hammer Throw,
Khristos Dimitropoulos,M,,,,Greece,1936,Athletics Men's Hammer Throw,
Wagner Jos Alberto Carvalho Domingos,M,33.0,187.0,100.0,Brazil,2016,Athletics Men's Hammer Throw,
Ewan Campbell Kennedy Douglas,M,25.0,193.0,95.0,Great Britain,1948,Athletics Men's Hammer Throw,
Ewan Campbell Kennedy Douglas,M,29.0,193.0,95.0,Great Britain,1952,Athletics Men's Hammer Throw,
Norman Hercy Drake,M,24.0,,,Great Britain,1936,Athletics Men's Hammer Throw,
Norman Hercy Drake,M,36.0,,,Great Britain,1948,Athletics Men's Hammer Throw,
Henry Francis Dreyer,M,25.0,194.0,114.0,United States,1936,Athletics Men's Hammer Throw,
Henry Francis Dreyer,M,37.0,194.0,114.0,United States,1948,Athletics Men's Hammer Throw,
Mark William Dry,M,28.0,184.0,113.0,Great Britain,2016,Athletics Men's Hammer Throw,
Oleksandr Volodymyrovych Dryhol,M,46.0,183.0,104.0,Ukraine,2012,Athletics Men's Hammer Throw,
Constantin Dumitru,M,27.0,,,Romania,1952,Athletics Men's Hammer Throw,
Gilles Dupray,M,26.0,186.0,115.0,France,1996,Athletics Men's Hammer Throw,
Gilles Dupray,M,30.0,186.0,115.0,France,2000,Athletics Men's Hammer Throw,
Heorhiy Dybenko,M,,,,Soviet Union,1952,Athletics Men's Hammer Throw,
Emanuil Atanasov Dyulgerov,M,25.0,178.0,95.0,Bulgaria,1980,Athletics Men's Hammer Throw,
Sndor Eckschmiedt,M,25.0,184.0,111.0,Hungary,1964,Athletics Men's Hammer Throw,
Sndor Eckschmiedt,M,29.0,184.0,111.0,Hungary,1968,Athletics Men's Hammer Throw,
Sndor Eckschmiedt,M,33.0,184.0,111.0,Hungary,1972,Athletics Men's Hammer Throw,
Sen Egan,M,23.0,187.0,106.0,Ireland,1980,Athletics Men's Hammer Throw,
Ashraf Amgad El-Seify,M,21.0,185.0,105.0,Qatar,2016,Athletics Men's Hammer Throw,
Jaroslav Eli,M,30.0,178.0,126.0,Czechoslovakia,1936,Athletics Men's Hammer Throw,
