Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
Lorraine I. Hanson,F,27.0,178.0,65.0,Great Britain,1992,Athletics Women's 400 meters,
Ahamada Hadidja Haoulata Ali Moudhir,F,21.0,,,Comoros,1996,Athletics Women's 400 meters,
Salamtou Hassane,F,17.0,165.0,60.0,Niger,2004,Athletics Women's 400 meters,
Natasha Monique Hastings,F,30.0,173.0,68.0,United States,2016,Athletics Women's 400 meters,
Monique Hennagan,F,24.0,173.0,57.0,United States,2000,Athletics Women's 400 meters,
Monique Hennagan,F,28.0,173.0,57.0,United States,2004,Athletics Women's 400 meters,
Helga Henning (-Fricke),F,30.0,170.0,55.0,West Germany,1968,Athletics Women's 400 meters,
Tjipekapora Herunga,F,24.0,167.0,51.0,Namibia,2012,Athletics Women's 400 meters,
Moa Elin Marianne Hjelmer,F,22.0,172.0,60.0,Sweden,2012,Athletics Women's 400 meters,
Ileana Hocking,F,17.0,158.0,45.0,Puerto Rico,1976,Athletics Women's 400 meters,
"Abigail Golda ""Abby"" Hoffman",F,17.0,175.0,57.0,Canada,1964,Athletics Women's 400 meters,
Maree Anne Holland (Chapman-),F,25.0,169.0,55.0,Australia,1988,Athletics Women's 400 meters,
"Silvia Hollmann (-Nickisch, -Schiek)",F,21.0,176.0,64.0,West Germany,1976,Athletics Women's 400 meters,
Denean Elizabeth Howard-Hill,F,23.0,165.0,55.0,United States,1988,Athletics Women's 400 meters,
Joslyn Yvonne Hoyte-Smith,F,25.0,163.0,52.0,Great Britain,1980,Athletics Women's 400 meters,
Magorzata Houb,F,23.0,168.0,57.0,Poland,2016,Athletics Women's 400 meters,
"Penelope Christine ""Penny"" Hunt (-Haworth)",F,24.0,168.0,59.0,New Zealand,1972,Athletics Women's 400 meters,
Safia Abukar Hussein,F,19.0,168.0,56.0,Somalia,2000,Athletics Women's 400 meters,
Jayamini Illeperuma,F,25.0,160.0,46.0,Sri Lanka,1992,Athletics Women's 400 meters,
Sheila Rena Ingram,F,19.0,161.0,51.0,United States,1976,Athletics Women's 400 meters,
Mariya Leontyevna Itkina,F,32.0,166.0,62.0,Soviet Union,1964,Athletics Women's 400 meters,
Shericka Jackson,F,22.0,173.0,61.0,Jamaica,2016,Athletics Women's 400 meters,Bronze
Rita Jahn-Wilden,F,24.0,170.0,57.0,West Germany,1972,Athletics Women's 400 meters,Silver
Rita Jahn-Wilden,F,28.0,170.0,57.0,West Germany,1976,Athletics Women's 400 meters,
Lydia Casey Jele (Mashila-),F,26.0,172.0,54.0,Botswana,2016,Athletics Women's 400 meters,
Jocelyn Joseph,F,20.0,181.0,54.0,Antigua and Barbuda,1984,Athletics Women's 400 meters,
Krystyna Barbara Kacperczyk (Hryniewicka-),F,23.0,168.0,60.0,Poland,1972,Athletics Women's 400 meters,
Karoline Kfer (-Steringer),F,17.0,165.0,60.0,Austria,1972,Athletics Women's 400 meters,
Karoline Kfer (-Steringer),F,25.0,165.0,60.0,Austria,1980,Athletics Women's 400 meters,
Natasha E. Kaiser-Brown,F,25.0,175.0,59.0,United States,1992,Athletics Women's 400 meters,
Alissa Kallinikou,F,23.0,170.0,54.0,Cyprus,2008,Athletics Women's 400 meters,
Arda Kalpakian,F,28.0,152.0,42.0,Lebanon,1972,Athletics Women's 400 meters,
Anastasiya Aleksandrovna Kapachinskaya,F,28.0,176.0,62.0,Russia,2008,Athletics Women's 400 meters,
Mary-Estelle Kapalu (-Mahuk),F,25.0,164.0,57.0,Vanuatu,1992,Athletics Women's 400 meters,
Dagmar Ksling (-Lhnenschlo),F,25.0,170.0,59.0,East Germany,1972,Athletics Women's 400 meters,
Mandeep Kaur,F,20.0,156.0,54.0,India,2008,Athletics Women's 400 meters,
Olga Kazi (-Gyulai),F,23.0,167.0,52.0,Hungary,1964,Athletics Women's 400 meters,
Linda Keough (-Staines),F,24.0,174.0,60.0,Great Britain,1988,Athletics Women's 400 meters,
"Mary Elizabeth ""Molly"" Killingbeck",F,25.0,170.0,56.0,Canada,1984,Athletics Women's 400 meters,
"Patricia Ann ""Pat"" Kippax (-Stocking, -Davidson)",F,23.0,170.0,61.0,Great Britain,1964,Athletics Women's 400 meters,
Marita Koch (-Meier),F,19.0,171.0,62.0,East Germany,1976,Athletics Women's 400 meters,
Marita Koch (-Meier),F,23.0,171.0,62.0,East Germany,1980,Athletics Women's 400 meters,Gold
Dijana Koji,F,18.0,173.0,52.0,Bosnia and Herzegovina,2000,Athletics Women's 400 meters,
Nadezhda Leonidovna Kolesnikova-Ilyina,F,23.0,175.0,61.0,Soviet Union,1972,Athletics Women's 400 meters,
Nadezhda Leonidovna Kolesnikova-Ilyina,F,27.0,175.0,61.0,Soviet Union,1976,Athletics Women's 400 meters,
Claudine Komgang Fotsing,F,26.0,170.0,55.0,Cameroon,2000,Athletics Women's 400 meters,
Alimata Kon,F,27.0,,,Cote d'Ivoire,1992,Athletics Women's 400 meters,
Nadda Kotovalov (-Tomsov),F,24.0,171.0,60.0,Czech Republic,1996,Athletics Women's 400 meters,
Olga Ivanovna Kotlyarova,F,20.0,180.0,66.0,Russia,1996,Athletics Women's 400 meters,
