Name,Sex,Age,Height,Weight,Team,Year,Medal,BMI
Alf Roland Petersson,M,27.0,190.0,80.0,Sweden,1960,,22.1606648199446
Stefanos Petrakis,M,23.0,174.0,62.0,Greece,1948,,20.478266613819528
Kiril Petrunov,M,,,,Bulgaria,1924,,
Sten Karl Leopold Pettersson,M,29.0,190.0,79.0,Sweden,1932,,21.883656509695292
Antonio Pettigrew,M,32.0,183.0,76.0,United States,2000,,22.694018931589476
Derrick Peynado,M,20.0,183.0,73.0,Jamaica,1980,,21.798202394816208
Joel Japheth Phillip,M,20.0,188.0,75.0,Grenada,2008,,21.22000905387053
Eric Phillips,M,17.0,174.0,68.0,Venezuela,1972,,22.460034350640772
"Hector ""Hec"" Phillips",M,30.0,175.0,,Canada,1920,,
Hermon Edgar Phillips,M,24.0,178.0,68.0,United States,1928,,21.461936624163616
Bobang Molebetsi Phiri,M,24.0,179.0,72.0,South Africa,1992,,22.47120876377142
Bobang Molebetsi Phiri,M,28.0,179.0,72.0,South Africa,1996,,22.47120876377142
Jerzy Pietrzyk,M,21.0,190.0,76.0,Poland,1976,,21.05263157894737
Jerzy Pietrzyk,M,25.0,190.0,76.0,Poland,1980,,21.05263157894737
Edmunds Plgs,M,25.0,172.0,67.0,Soviet Union,1952,,22.6473769605192
Paul Henry Pilgrim,M,20.0,180.0,75.0,United States,1904,,23.14814814814815
Paul Henry Pilgrim,M,22.0,180.0,75.0,United States,1906,Gold,23.14814814814815
Paul Henry Pilgrim,M,24.0,180.0,75.0,United States,1908,,23.14814814814815
Melesio Pia Oregel,M,20.0,174.0,64.0,Mexico,1968,,21.13885585942661
Demetrius Rashad Pinder,M,23.0,178.0,70.0,Bahamas,2012,,22.093170054286077
Phillip Pipersburg,M,29.0,168.0,63.0,Belize,1984,,22.321428571428573
Oscar Leonard Carl Pistorius,M,25.0,181.0,77.0,South Africa,2012,,23.503556057507403
Terence Keith Pitt,M,20.0,,,India,1924,,
Eutimio Evelio Planas del Ro,M,22.0,186.0,77.0,Cuba,1952,,22.256908313099782
George Coleman Poage,M,23.0,,,United States,1904,,
Antonio Sebastin Pocov,M,26.0,,,Argentina,1948,,
Jorge Fidel Ponce,M,20.0,172.0,56.0,Honduras,1988,,18.929150892374256
Wadysaw Ponurski,M,21.0,,,Austria,1912,,
Alexandre Casimir Charles Poulenard,M,27.0,,,France,1912,,
Rohan Handunpurage Pradeep Kumara,M,25.0,183.0,60.0,Sri Lanka,2000,,17.916330735465376
Rohan Handunpurage Pradeep Kumara,M,29.0,183.0,60.0,Sri Lanka,2004,,17.916330735465376
Karel Pibyl,M,20.0,,68.0,Czechoslovakia,1920,,
Karel Pibyl,M,24.0,,68.0,Czechoslovakia,1924,,
Leighton Priestley,M,21.0,180.0,66.0,Jamaica,1972,,20.37037037037037
Leighton Priestley,M,25.0,180.0,66.0,Jamaica,1976,,20.37037037037037
Franois Gaston Prinsen,M,22.0,,,Belgium,1928,,
Meyer Prinstein,M,25.0,180.0,74.0,United States,1904,,22.839506172839506
Jean Proess,M,23.0,,,Luxembourg,1920,,
William Christopher Prout,M,22.0,180.0,76.0,United States,1908,,23.45679012345679
Derek Charles Pugh,M,22.0,178.0,70.0,Great Britain,1948,,22.093170054286077
Domingos Puglisi,M,20.0,173.0,,Brazil,1932,,
Ebenezer Quaye Quartey,M,30.0,167.0,67.0,Ghana,1964,,24.02380867008498
"Yannick ""Yann"" Quentrec",M,22.0,190.0,75.0,France,1984,,20.775623268698062
George Hamilton Queyrouze,M,23.0,,,United States,1906,,
Renny Quow,M,20.0,170.0,66.0,Trinidad and Tobago,2008,,22.837370242214533
Marko Rai,M,28.0,168.0,62.0,Yugoslavia,1948,,21.967120181405896
Franklin Benjamin Rahming,M,27.0,176.0,68.0,Bahamas,1972,,21.952479338842974
Horace Patton Ramey,M,23.0,170.0,60.0,United States,1908,,20.761245674740483
Manuel Ramrez Caicedo,M,26.0,172.0,60.0,Colombia,1984,,20.281233098972418
Rosalvo da Costa Ramos,M,34.0,,,Brazil,1948,,
"Joseph ""Joe"" Ramotshabi",M,18.0,180.0,70.0,Botswana,1980,,21.604938271604937
"Joseph ""Joe"" Ramotshabi",M,22.0,180.0,70.0,Botswana,1984,,21.604938271604937
Godfrey Lionel Rampling,M,23.0,185.0,75.0,Great Britain,1932,,21.91380569758948
Godfrey Lionel Rampling,M,27.0,185.0,75.0,Great Britain,1936,,21.91380569758948
"John William ""Bill"" Ramsay",M,20.0,,,Australia,1948,,
Arsne Randriamahazomana,M,22.0,173.0,70.0,Madagascar,1984,,23.38868655818771
Jean-Louis Rapnouil,M,30.0,174.0,69.0,France,1996,,22.79032897344431
Marc Raquil,M,23.0,193.0,85.0,France,2000,,22.819404547773093
Grard Rasquin,M,24.0,181.0,74.0,Luxembourg,1952,,22.587833094227893
Grard Rasquin,M,29.0,181.0,74.0,Luxembourg,1956,,22.587833094227893
"James Patrick ""Jimmy"" Reardon",M,22.0,,,Ireland,1948,,
Derek Anthony Redmond,M,26.0,183.0,70.0,Great Britain,1992,,20.90238585804294
Reginald Charles Reed,M,27.0,,,Great Britain,1906,,
Abdul Rehman,M,23.0,,,Pakistan,1952,,
"Franois tienne ""Frantz"" Reichel",M,25.0,,,France,1896,,
Charles Decker Reidpath,M,22.0,181.0,76.0,United States,1912,Gold,23.198315069747565
George Russell Renwick,M,22.0,,,Great Britain,1924,,
"Hans-Joachim ""Jochen"" Reske",M,20.0,184.0,80.0,Germany,1960,,23.629489603024574
"Harry Lee ""Butch"" Reynolds, Jr.",M,24.0,193.0,84.0,United States,1988,Silver,22.550940964858118
"Harry Lee ""Butch"" Reynolds, Jr.",M,32.0,193.0,84.0,United States,1996,,22.550940964858118
Martin Edward Reynolds,M,23.0,185.0,77.0,Great Britain,1972,,22.4981738495252
George Vincent Rhoden,M,21.0,178.0,68.0,Jamaica,1948,,21.461936624163616
George Vincent Rhoden,M,25.0,178.0,68.0,Jamaica,1952,Gold,21.461936624163616
Tibor Ribnyi,M,22.0,,,Hungary,1936,,
Danilson Ricciuli,M,21.0,175.0,76.0,Guinea Bissau,2004,,24.816326530612244
Karl Arvid Ringstrand,M,20.0,,,Sweden,1908,,
"Jan William Joslin ""John"" Rinkel",M,23.0,183.0,75.0,Great Britain,1928,,22.39541341933172
Felix Rinner,M,21.0,185.0,,Austria,1932,,
"Francisco ""Frank"" Rivera Paniagua",M,24.0,175.0,59.0,Puerto Rico,1952,,19.26530612244898
Syed Meshaq Rizvi,M,22.0,175.0,65.0,Pakistan,1984,,21.224489795918366
Robert Campbell Robb,M,26.0,,,Great Britain,1908,,
William Corbett Robbins,M,22.0,,,United States,1908,,
"William ""Bill"" Roberts",M,24.0,173.0,70.0,Great Britain,1936,,23.38868655818771
"William ""Bill"" Roberts",M,36.0,173.0,70.0,Great Britain,1948,,23.38868655818771
Gil Roberts,M,27.0,188.0,82.0,United States,2016,,23.20054323223178
Lawson Robertson,M,22.0,183.0,68.0,United States,1906,,20.305174833527428
"Raymond Amos ""Ray"" Robertson",M,22.0,175.0,61.0,United States,1924,,19.918367346938776
Barry Clyde Robinson,M,23.0,187.0,76.0,New Zealand,1960,,21.733535417083704
"Giovanni ""Gianni"" Rocca",M,23.0,,,Italy,1952,,
"Kenneth James ""Ken"" Roche",M,22.0,188.0,84.0,Australia,1964,,23.766410140334994
"Joseph ""Joe"" Rodan",M,33.0,185.0,75.0,Fiji,1984,,21.91380569758948
"Joseph ""Joe"" Rodan",M,37.0,185.0,75.0,Fiji,1988,,21.91380569758948
Jaime Nharimue Rodrigues,M,33.0,181.0,71.0,Mozambique,1988,,21.672110130948383
Jaime Nharimue Rodrigues,M,37.0,181.0,71.0,Mozambique,1992,,21.672110130948383
Ivn Rodrguez Padilla,M,19.0,174.0,63.0,Puerto Rico,1956,,20.808561236623067
Ivn Rodrguez Padilla,M,23.0,174.0,63.0,Puerto Rico,1960,,20.808561236623067
Francisco Rojas Soto,M,21.0,180.0,73.0,Paraguay,1972,,22.530864197530864
Fabian Nicholas Rollins,M,24.0,188.0,77.0,Barbados,2000,,21.785875961973744
Georges-Joseph Jean Baptiste Rolot,M,22.0,,,France,1912,,
Martyn Joseph Rooney,M,21.0,198.0,81.0,Great Britain,2008,,20.66115702479339
Martyn Joseph Rooney,M,25.0,198.0,81.0,Great Britain,2012,,20.66115702479339
Martyn Joseph Rooney,M,29.0,198.0,81.0,Great Britain,2016,,20.66115702479339
Argemiro Roque,M,28.0,180.0,64.0,Brazil,1952,,19.753086419753085
Mario Rosas Ruiz,M,,,,Colombia,1948,,
James Maher Rosenberger,M,25.0,186.0,73.0,United States,1912,,21.100705283847844
Ak Hafiy Tajuddin Rositi,M,21.0,175.0,64.0,Brunei,2012,,20.897959183673468
Claude Murray Ross,M,18.0,170.0,67.0,Australasia,1912,,23.18339100346021
Stephen Bartonjo Rotich,M,18.0,165.0,63.0,Kenya,1956,,23.140495867768596
Stephen Bartonjo Rotich,M,22.0,165.0,63.0,Kenya,1960,,23.140495867768596
Emmanuel Rubayiza,M,18.0,180.0,72.0,Rwanda,1996,,22.22222222222222
Bevil Gordon d'Urban Rudd,M,24.0,180.0,77.0,South Africa,1920,Gold,23.765432098765434
Daniel Matasi Rudisha,M,23.0,180.0,76.0,Kenya,1968,,23.45679012345679
Johannes Runge,M,26.0,185.0,75.0,Germany,1904,,21.91380569758948
Johannes Runge,M,28.0,185.0,75.0,Germany,1906,,21.91380569758948
Alonzo Russell,M,24.0,174.0,68.0,Bahamas,2016,,22.460034350640772
Mathias Rusterholz,M,24.0,183.0,71.0,Switzerland,1996,,21.200991370300695
Edward Hewish Ryle,M,22.0,,,Great Britain,1908,,
Piotr Grzegorz Rysiukiewicz,M,22.0,174.0,65.0,Poland,1996,,21.469150482230148
Piotr Grzegorz Rysiukiewicz,M,26.0,174.0,65.0,Poland,2000,,21.469150482230148
Mohamed Saad Mubarak,M,23.0,164.0,64.0,Kuwait,1972,,23.79535990481856
"Zvonimir ""Zvonko"" Sabolovi",M,25.0,185.0,68.0,Yugoslavia,1948,,19.868517165814463
Muhammad Sadiq,M,26.0,183.0,88.0,Pakistan,1964,,26.277285078682553
Nusrat Iqbal Sahi,M,22.0,175.0,82.0,Pakistan,1972,,26.775510204081634
Moussa Said,M,21.0,180.0,64.0,Ethiopia,1960,,19.753086419753085
Muhammad Sajid Ahmad,M,24.0,182.0,72.0,Pakistan,2004,,21.73650525298877
Aktawat Sakoolchan,M,19.0,179.0,64.0,Thailand,1992,,19.97440779001904
Jos Vicente Salinas,M,,175.0,69.0,Chile,1928,,22.53061224489796
John Edward Salisbury,M,22.0,180.0,70.0,Great Britain,1956,,21.604938271604937
Ezra Kenyoke Sambu,M,25.0,175.0,70.0,Kenya,2004,,22.857142857142858
Alexander Lerionka Sampao,M,19.0,,67.0,Kenya,2016,,
Antonio Snchez Muoz,M,20.0,181.0,72.0,Spain,1984,,21.97735111870822
Antonio Snchez Muoz,M,24.0,181.0,72.0,Spain,1988,,21.97735111870822
"Michael ""Mike"" Sands",M,23.0,183.0,76.0,Bahamas,1976,,22.694018931589476
Felix Sandy,M,23.0,178.0,70.0,Sierra Leone,1988,,22.093170054286077
Donald Eugene Sanford,M,25.0,196.0,81.0,Israel,2012,,21.08496459808413
Donald Eugene Sanford,M,29.0,196.0,81.0,Israel,2016,,21.08496459808413
Julius Sang,M,26.0,175.0,69.0,Kenya,1972,Bronze,22.53061224489796
Lucas Kipkemboi Sang,M,25.0,188.0,72.0,Kenya,1988,,20.371208691715708
Carlos Yohelin Santa Ramrez,M,22.0,183.0,77.0,Dominican Republic,2000,,22.992624443847234
Carlos Yohelin Santa Ramrez,M,26.0,183.0,77.0,Dominican Republic,2004,,22.992624443847234
Lugueln Miguel Santos Aquino,M,18.0,173.0,58.0,Dominican Republic,2012,Silver,19.37919743392696
Lugueln Miguel Santos Aquino,M,22.0,173.0,58.0,Dominican Republic,2016,,19.37919743392696
Samuel Sarkpa,M,23.0,175.0,64.0,Liberia,1984,,20.897959183673468
Mitsuhiro Sato,M,24.0,175.0,62.0,Japan,2004,,20.244897959183675
Reinhold Saulmann,M,24.0,184.0,75.0,Estonia,1920,,22.152646502835537
Brian Saunders,M,24.0,183.0,68.0,Canada,1976,,20.305174833527428
Brian Saunders,M,32.0,183.0,68.0,Canada,1984,,20.305174833527428
Savin Chem,M,28.0,171.0,67.0,Cambodia,1972,,22.913033070004445
Habib Zareef Sayed,M,23.0,170.0,58.0,Afghanistan,1960,,20.069204152249135
Frank Schaffer,M,21.0,188.0,80.0,East Germany,1980,Bronze,22.634676324128566
Francis Schewetta,M,28.0,180.0,72.0,France,1948,,22.22222222222222
George Sylvester Schiller,M,19.0,175.0,66.0,United States,1920,,21.551020408163264
Horst-Rdiger Schlske (Pfau-),M,26.0,177.0,65.0,West Germany,1972,,20.747550193111813
Reinhold Schmidt,M,25.0,178.0,69.0,Germany,1928,,21.777553339224845
Johannes Schmitt,M,21.0,179.0,67.0,Germany,1964,,20.91070815517618
Hans Ernst Schneider,M,25.0,,,Switzerland,1952,,
Thomas Schnlebe,M,23.0,185.0,74.0,East Germany,1988,,21.62162162162162
Thomas Schnlebe,M,26.0,185.0,74.0,Germany,1992,,21.62162162162162
"Hermanus Ricardus Johannes ""Harry"" Schulting",M,24.0,192.0,79.0,Netherlands,1980,,21.43012152777778
Ernst Ludwig Emanuel Schultz,M,20.0,,,Denmark,1900,Bronze,
Ingo Schultz,M,29.0,201.0,99.0,Germany,2004,,24.50434395188238
Robert Schurrer,M,22.0,,,France,1912,,
Rolf Schnheyder,M,23.0,,,Norway,1936,,
"Louis Joseph ""Lou"" Sebert",M,21.0,180.0,,Canada,1908,,
Cyril Norman Seedhouse,M,20.0,,,Great Britain,1912,,
"Marcus ""Mark"" Senior",M,20.0,170.0,67.0,Jamaica,1984,,23.18339100346021
Matija estak,M,27.0,193.0,82.0,Slovenia,2000,,22.014013799028163
Matija estak,M,31.0,193.0,82.0,Slovenia,2004,,22.014013799028163
Yaya Seyba,M,,,,Mali,1988,,
Ahmed Shageef,M,17.0,166.0,65.0,Maldives,1988,,23.588329220496444
Frank Joseph Shea,M,26.0,181.0,73.0,United States,1920,,22.282592106468055
"Melvin Winfield ""Mel"" Sheppard",M,28.0,177.0,67.0,United States,1912,,21.38593635289987
Dennis Victor Shore,M,21.0,189.0,80.0,South Africa,1936,,22.395789591556788
Dennis Victor Shore,M,33.0,189.0,80.0,South Africa,1948,,22.395789591556788
Dimitrios Siantis,M,,,,Greece,1906,,
Karabo Sibanda,M,18.0,185.0,70.0,Botswana,2016,,20.452885317750184
Antonio Siddi,M,29.0,177.0,73.0,Italy,1952,,23.301094832264038
Oddur Sigursson,M,21.0,181.0,70.0,Iceland,1980,,21.36686914318855
Oddur Sigursson,M,25.0,181.0,70.0,Iceland,1984,,21.36686914318855
Reynir Sigursson,M,20.0,,,Iceland,1948,,
Foday Sillah,M,18.0,175.0,62.0,Sierra Leone,1992,,20.244897959183675
Vasilios Sillis,M,23.0,181.0,73.0,Greece,1952,,22.282592106468055
Vasilios Sillis,M,31.0,181.0,73.0,Greece,1960,,22.282592106468055
Andrs Byron Silva Lemos,M,18.0,178.0,78.0,Uruguay,2004,,24.61810377477591
Andrs Byron Silva Lemos,M,22.0,178.0,78.0,Uruguay,2008,,24.61810377477591
Fernando da Cuha Silva,M,20.0,176.0,75.0,Portugal,1972,,24.212293388429753
Odiya Silweya,M,29.0,172.0,70.0,Malawi,1988,,23.66143861546782
Christian Simmen,M,,,,Switzerland,1924,,
George Simon,M,25.0,180.0,75.0,Trinidad and Tobago,1968,,23.14814814814815
Agide Simonazzi,M,24.0,,,Italy,1920,,
Brandon Allan Simpson,M,22.0,185.0,79.0,Jamaica,2004,,23.08254200146092
Vanxay Sinebandith,M,23.0,170.0,60.0,Laos,1992,,20.761245674740483
Milkha Singh,M,21.0,172.0,66.0,India,1956,,22.30935640886966
Milkha Singh,M,24.0,172.0,66.0,India,1960,,22.30935640886966
Paramjit Singh,M,29.0,187.0,73.0,India,2000,,20.87563270325145
Erwin Richard Skamrahl,M,26.0,178.0,67.0,West Germany,1984,,21.146319909102385
Pierre Skawinski,M,23.0,185.0,76.0,France,1936,,22.20598977355734
Anton Skerritt,M,20.0,185.0,74.0,Trinidad and Tobago,1984,,21.62162162162162
Anton Skerritt,M,24.0,185.0,74.0,Canada,1988,,21.62162162162162
Edwin Joseph Skinner,M,23.0,180.0,76.0,Trinidad and Tobago,1964,,23.45679012345679
Henry Berry Slack,M,23.0,,,United States,1900,,
Laird de Lacey Sloan,M,21.0,,,Canada,1956,,
Robert Harold Smallwood,M,21.0,186.0,79.0,United States,1936,,22.83500982772575
John Walton Smith,M,22.0,188.0,83.0,United States,1972,,23.483476686283385
Emil Snider,M,20.0,185.0,73.0,United States,1928,,21.32943754565376
"Michael ""Mike"" Solomon",M,21.0,171.0,60.0,Trinidad and Tobago,1976,,20.519134092541293
"Michael ""Mike"" Solomon",M,25.0,171.0,60.0,Trinidad and Tobago,1980,,20.519134092541293
Steven Solomon,M,19.0,186.0,73.0,Australia,2012,,21.100705283847844
Egon Solymossy,M,30.0,,,Hungary,1952,,
Pablo Somblingo,M,,,,Philippines,1956,,
Son Ju-Il,M,26.0,175.0,69.0,South Korea,1996,,22.53061224489796
James Tindal Soutter,M,27.0,,,Great Britain,1912,,
Javier Souza Daz,M,22.0,,,Mexico,1952,,
"Frederick Oliver Newgent ""Fred"" Sowerby",M,27.0,180.0,74.0,Antigua and Barbuda,1976,,22.839506172839506
Zoltn Speidl,M,20.0,,,Hungary,1900,,
"Malcolm Emanuel Augustus ""Mal"" Spence",M,20.0,177.0,71.0,Jamaica,1956,,22.66270867247598
"Malcolm Emanuel Augustus ""Mal"" Spence",M,24.0,177.0,71.0,West Indies Federation,1960,,22.66270867247598
Malcolm Clive Spence,M,19.0,187.0,76.0,South Africa,1956,,21.733535417083704
Malcolm Clive Spence,M,22.0,187.0,76.0,South Africa,1960,Bronze,21.733535417083704
"Melville Emanuel Alfonso ""Mel"" Spence",M,20.0,177.0,71.0,Jamaica,1956,,22.66270867247598
Caspar Springer,M,35.0,,,Barbados,1972,,
Ali St. Louis,M,25.0,175.0,71.0,Trinidad and Tobago,1984,,23.183673469387756
Augusto Jos Stanley Netepczuk,M,24.0,189.0,80.0,Paraguay,2012,,22.395789591556788
Ian Stapleton,M,20.0,183.0,68.0,Jamaica,1980,,20.305174833527428
Vasilios Stavrinos,M,21.0,,,Greece,1928,,
Andrew Steele,M,23.0,182.0,78.0,Great Britain,2008,,23.547880690737834
Bjarni Stefnsson,M,21.0,180.0,70.0,Iceland,1972,,21.604938271604937
Bjarni Stefnsson,M,25.0,180.0,70.0,Iceland,1976,,21.604938271604937
"Josef ""Sepp"" Steger",M,27.0,,,Switzerland,1952,,
Knut Stenborg,M,22.0,,,Sweden,1912,,
Andrzej Stpie,M,27.0,180.0,76.0,Poland,1980,,23.45679012345679
Jeremas Stokes Brown,M,19.0,,,Guatemala,1952,,
Nelson Stone,M,28.0,179.0,75.0,Papua New Guinea,2012,,23.40750912892856
"Robert Alan ""Rob"" Stone",M,23.0,176.0,71.0,Australia,1988,,22.920971074380166
Crew Hadlett Stoneley,M,21.0,163.0,51.0,Great Britain,1932,,19.195302796492154
"Werner ""Harry"" Storz",M,24.0,175.0,68.0,Germany,1928,,22.20408163265306
Brje Johannes Strandvall,M,23.0,175.0,66.0,Finland,1932,,21.551020408163264
Brje Johannes Strandvall,M,27.0,175.0,66.0,Finland,1936,,21.551020408163264
Stylianos Stratakos,M,33.0,,,Greece,1948,,
Seibert Straughn,M,20.0,193.0,77.0,Barbados,1988,,20.671695884453275
Seibert Straughn,M,24.0,193.0,77.0,Barbados,1992,,20.671695884453275
Sven Emil Strmberg,M,25.0,176.0,73.0,Sweden,1936,,23.56663223140496
Charles Syme Stuart,M,21.0,,,Australia,1928,,
Jaakko Johannes Suikkari,M,26.0,180.0,78.0,Finland,1952,,24.074074074074073
Eric Gustav Sundblad,M,22.0,,,Sweden,1920,,
Tauno Johannes Suvanto,M,23.0,182.0,73.0,Finland,1948,,22.03840115928028
Sompop Svadanandana,M,19.0,,,Thailand,1952,,
Artur Hjalmar Slve Svensson,M,23.0,,,Sweden,1924,,
Hryhoriy Sverbetov,M,25.0,183.0,76.0,Soviet Union,1964,,22.694018931589476
Renelda Swan,M,18.0,178.0,70.0,Bermuda,1976,,22.093170054286077
Stanisaw Swatowski,M,26.0,175.0,72.0,Poland,1960,,23.510204081632654
Stanisaw Swatowski,M,30.0,175.0,72.0,Poland,1964,,23.510204081632654
Stanisaw Dominik witochowski,M,24.0,,,Poland,1924,,
"Rudieon ""Rudy"" Sylvan",M,21.0,175.0,73.0,Grenada,2000,,23.836734693877553
Jen Szalay,M,23.0,,,Hungary,1928,,
Zsolt Szeglet,M,23.0,180.0,76.0,Hungary,2000,,23.45679012345679
Zsolt Szeglet,M,27.0,180.0,76.0,Hungary,2004,,23.45679012345679
Ervin Szerelemhegyi,M,21.0,,,Hungary,1912,,
Kenji Tabata,M,25.0,176.0,66.0,Japan,2000,,21.306818181818183
Mulugetta Tadesse,M,26.0,176.0,64.0,Ethiopia,1972,,20.66115702479339
Susumu Takano,M,23.0,178.0,70.0,Japan,1984,,22.093170054286077
Susumu Takano,M,27.0,178.0,70.0,Japan,1988,,22.093170054286077
Susumu Takano,M,31.0,178.0,70.0,Japan,1992,,22.093170054286077
Olavi Anselmi Talja,M,23.0,182.0,73.0,Finland,1948,,22.03840115928028
Lapule Tamean,M,21.0,172.0,67.0,Papua New Guinea,1984,,22.6473769605192
Bralon Shazam Taplin,M,24.0,180.0,75.0,Grenada,2016,,23.14814814814815
Giuseppe Tarella,M,24.0,,,Italy,1908,,
"L. ""Leonard"" Tay",M,23.0,,,China,1936,,
"John Baxter Taylor, Jr.",M,25.0,181.0,74.0,United States,1908,,22.587833094227893
John Coard Taylor,M,23.0,180.0,73.0,United States,1924,,22.530864197530864
Ernest Tch-Noubossie,M,32.0,185.0,80.0,Cameroon,1988,,23.37472607742878
"Eduardo Antonio ""Eddy"" Tllez Valerino",M,24.0,180.0,70.0,Cuba,1968,,21.604938271604937
Edilson Rocha Tenrio,M,25.0,196.0,77.0,Brazil,1992,,20.043731778425656
Jorge Tern Hernndez,M,25.0,178.0,74.0,Mexico,1960,,23.355636914530994
Baboloki Thebe,M,19.0,,64.0,Botswana,2016,,
Thet Zaw Win,M,21.0,162.0,55.0,Myanmar,2012,,20.95717116293248
Robosingho Arachchilage Don Sugath Thilakaratne,M,22.0,170.0,60.0,Sri Lanka,1996,,20.761245674740483
Robosingho Arachchilage Don Sugath Thilakaratne,M,27.0,170.0,60.0,Sri Lanka,2000,,20.761245674740483
Daniel M. Thomas,M,27.0,178.0,64.0,Tanzania,1964,,20.199469763918696
Iwan Gwyn Thomas,M,22.0,186.0,85.0,Great Britain,1996,,24.569314371603653
Somsak Thonf Ar-Ram,M,22.0,162.0,61.0,Thailand,1956,,23.243408017070568
Somsak Thongsuk,M,25.0,168.0,64.0,Thailand,1964,,22.675736961451246
Errol Thurton,M,,,,Belize,1976,,
Gabriel J. Tiacoh,M,20.0,180.0,75.0,Cote d'Ivoire,1984,Silver,23.14814814814815
Gabriel J. Tiacoh,M,25.0,180.0,75.0,Cote d'Ivoire,1988,,23.14814814814815
"Joseph Paul ""Joe"" Tierney",M,25.0,178.0,61.0,United States,1928,,19.252619618735007
"Charles Terence ""Terry"" Tobacco",M,20.0,188.0,63.0,Canada,1956,,17.824807605251245
"Charles Terence ""Terry"" Tobacco",M,24.0,188.0,63.0,Canada,1960,,17.824807605251245
Horia Toboc,M,25.0,184.0,71.0,Romania,1980,,20.97117202268431
Willis Todman,M,22.0,167.0,66.0,British Virgin Islands,1988,,23.66524436157625
Juan Pedro Toledo Domnguez,M,22.0,187.0,85.0,Mexico,2000,,24.307243558580456
Yoshiharu Tomonaga,M,22.0,178.0,70.0,Japan,1972,,22.093170054286077
Edward James Toms,M,24.0,,,Great Britain,1924,,
Giovanni Tosi,M,,,,Italy,1920,,
Roberto Tozzi,M,21.0,180.0,72.0,Italy,1980,,22.22222222222222
Rgis Tranquille,M,25.0,182.0,74.0,Seychelles,1980,,22.34029706557179
Pavel Aleksandrovich Trenikhin,M,26.0,180.0,70.0,Russia,2012,,21.604938271604937
Max Trepp,M,24.0,,,Switzerland,1948,,
Otto-Paul Trieloff,M,22.0,,,Germany,1908,,
Josef Trousil,M,25.0,182.0,70.0,Czechoslovakia,1960,,21.132713440405748
Josef Trousil,M,29.0,182.0,70.0,Czechoslovakia,1964,,21.132713440405748
Takale Tuna,M,23.0,184.0,75.0,Papua New Guinea,1988,,22.152646502835537
Dele Ndubuisi Udo,M,23.0,187.0,78.0,Nigeria,1980,,22.305470559638536
Pongummart Ummarttayakul,M,18.0,,,Thailand,1952,,
George Bernard Underwood,M,19.0,176.0,74.0,United States,1904,,23.889462809917354
Carlton Usher,M,19.0,168.0,68.0,Belize,1988,,24.09297052154195
Sunday Uti,M,21.0,175.0,68.0,Nigeria,1984,,22.20408163265306
Sunday Uti,M,25.0,175.0,68.0,Nigeria,1988,,22.20408163265306
Antoine Uytterhoeven,M,22.0,,,Belgium,1952,,
Marco Vaccari,M,26.0,180.0,69.0,Italy,1992,,21.296296296296298
Jzsef Vadas,M,24.0,175.0,62.0,Hungary,1936,,20.244897959183675
Bjrn Vade,M,26.0,,,Norway,1948,,
Howard Van Nostrand Valentine,M,22.0,,,United States,1904,,
Howard Van Nostrand Valentine,M,24.0,,,United States,1906,,
Brandon Valentine-Parris,M,21.0,173.0,55.0,Saint Vincent and the Grenadines,2016,,18.376825152861773
Louis Alberts van Biljon,M,24.0,,,South Africa,1952,,
Cdric Marie Carlos Thrse Van Branteghem,M,25.0,176.0,73.0,Belgium,2004,,23.56663223140496
Cdric Marie Carlos Thrse Van Branteghem,M,29.0,176.0,73.0,Belgium,2008,,23.56663223140496
"Marinus ""Rinus"" van den Berge",M,28.0,171.0,65.0,Netherlands,1928,,22.229061933586404
"Hendrik Jacob ""Henk"" van der Wal",M,21.0,,,Netherlands,1908,,
Wayde van Niekerk,M,24.0,183.0,70.0,South Africa,2016,Gold,20.90238585804294
Zdenk Va,M,21.0,170.0,64.0,Czechoslovakia,1960,,22.14532871972318
Peter Francis Vassella,M,23.0,175.0,69.0,Australia,1964,,22.53061224489796
Daniel Roger Vlasquez,M,28.0,175.0,70.0,France,1972,,22.857142857142858
Niko Verakauta,M,21.0,186.0,74.0,Fiji,2008,,21.389756041160826
David Verburg,M,25.0,173.0,70.0,United States,2016,,23.38868655818771
Jean Karel Verhaert,M,28.0,,,Belgium,1936,,
Adj Adjeoda Vignon,M,,180.0,80.0,Togo,1984,,24.691358024691358
Vctor Manuel Villaseor Martnez de Arredondo,M,24.0,178.0,,Mexico,1928,,
Casey Garnett Vincent,M,21.0,183.0,78.0,Australia,2000,,23.29122995610499
Casey Garnett Vincent,M,25.0,183.0,78.0,Australia,2004,,23.29122995610499
Johann Baptist Theodor von Gudenus,M,28.0,183.0,,Austria,1936,,
Ernst von Gunten,M,30.0,,,Switzerland,1952,,
Johan Bertil Karl von Wachenfeldt,M,27.0,188.0,76.0,Sweden,1936,,21.502942507922135
Jaroslav Vykoupil,M,20.0,176.0,67.0,Czechoslovakia,1928,,21.62964876033058
Ibrahima Wade,M,32.0,193.0,82.0,France,2000,,22.014013799028163
Anthony Wayne Wallace,M,23.0,191.0,82.0,Jamaica,1992,,22.477454017159616
Frank Laird Waller,M,20.0,176.0,71.0,United States,1904,Silver,22.920971074380166
Julian Jrummi Walsh,M,19.0,175.0,75.0,Japan,2016,,24.489795918367346
