Name,Sex,Age,Height,Weight,Team,Year,Medal,BMI
Armando de Freitas Zuzarte Luzarte Corteso,M,21.0,,,Portugal,1912,,
Omer Gustaaf Corteyn,M,23.0,,,Belgium,1920,,
Narciso Valdares Costa,M,20.0,,,Brazil,1924,,
Raymond Crapet,M,21.0,,,France,1948,,
"William Frederick ""Bill"" Crothers",M,23.0,183.0,71.0,Canada,1964,,21.200991370300695
Siegfried Cruden,M,24.0,168.0,64.0,Suriname,1984,,22.675736961451246
Csaba Csutors,M,22.0,186.0,84.0,Hungary,1960,,24.280263614290668
Gustavo Cuesta Rosario,M,27.0,183.0,80.0,Dominican Republic,2016,,23.8884409806205
Morris Joseph Curotta,M,19.0,183.0,73.0,Australia,1948,,21.798202394816208
Morris Joseph Curotta,M,23.0,183.0,73.0,Australia,1952,,21.798202394816208
Wilfrid Cyriaque,M,25.0,173.0,70.0,Haiti,1976,,23.38868655818771
Naiel Santiago D'Almeida,M,21.0,171.0,65.0,Sao Tome and Principe,2008,,22.229061933586404
Anubes Ferraz da Silva,M,24.0,179.0,70.0,Brazil,1960,,21.847008520333322
Delmo da Silva,M,22.0,173.0,68.0,Brazil,1976,,22.720438370810918
Evaldo Rosa da Silva,M,25.0,184.0,73.0,Brazil,1984,,21.561909262759926
Valdinei Ablio da Silva,M,24.0,180.0,71.0,Brazil,1996,,21.91358024691358
Daniel Dbrowski,M,24.0,182.0,72.0,Poland,2008,,21.73650525298877
"Henning Johannes ""Henry"" Dafel",M,31.0,,,South Africa,1920,,
Bror Johan Dahlin,M,26.0,,,Sweden,1912,,
Alfred Daley,M,26.0,175.0,69.0,Jamaica,1976,,22.53061224489796
Alvin Daniel,M,23.0,188.0,75.0,Trinidad and Tobago,1992,,21.22000905387053
"Olof Gustav Arne ""Olle"" Danielsson",M,24.0,,,Sweden,1936,,
Ira Nelson Davenport,M,24.0,178.0,72.0,United States,1912,,22.724403484408533
Ji David,M,29.0,187.0,80.0,Czechoslovakia,1952,,22.87740570219337
Charles C. Davies,M,,,,Great Britain,1908,,
Howard Granville Davies,M,24.0,178.0,69.0,Great Britain,1968,,21.777553339224845
Edgar Brian Davis,M,19.0,183.0,74.0,South Africa,1960,,22.096807907073966
Howard Davis,M,21.0,185.0,81.0,Jamaica,1988,,23.66691015339664
Malachi John Davis,M,26.0,183.0,79.0,Great Britain,2004,,23.589835468362747
Otis Crandall Davis,M,28.0,185.0,74.0,United States,1960,Gold,21.62162162162162
Gordon Raymond Day,M,24.0,185.0,74.0,South Africa,1960,,21.62162162162162
Fernando Pereira de Almeida,M,23.0,186.0,74.0,Brazil,2008,,21.389756041160826
Carlos de Anda Dominguez,M,24.0,175.0,,Mexico,1932,,
Antnio Damaso de Carvalho,M,22.0,,,Brazil,1936,,
Lodewijk De Clerck,M,24.0,176.0,67.0,Belgium,1960,,21.62964876033058
"duard ""Eddy"" De Leeuw",M,24.0,190.0,73.0,Belgium,1980,,20.221606648199447
Srgio Matias Franco de Menezes,M,23.0,180.0,78.0,Brazil,1988,,24.074074074074073
John Henricus De Saram,M,19.0,,,Sri Lanka,1948,,
"Frederick Monroe ""Fred"" de Selding",M,20.0,175.0,68.0,United States,1908,,22.20408163265306
Neil De Silva,M,26.0,175.0,75.0,Trinidad and Tobago,1996,,24.489795918367346
Neil De Silva,M,30.0,175.0,75.0,Trinidad and Tobago,2000,,24.489795918367346
Grson Andrade de Souza,M,25.0,176.0,74.0,Brazil,1984,,23.889462809917354
Grson Andrade de Souza,M,29.0,176.0,74.0,Brazil,1988,,23.889462809917354
Sidney Telles de Souza,M,25.0,183.0,65.0,Brazil,1992,,19.409358296754156
Marcell Dek Nagy,M,20.0,186.0,73.0,Hungary,2012,,21.100705283847844
Asfaw Deble,M,25.0,174.0,61.0,Ethiopia,1980,,20.147971991015986
Jacques Lopold Degats,M,22.0,180.0,76.0,France,1952,,23.45679012345679
